"ident","iata_code","name","municipality","iso_country","iso_region"
"5H3","","Clear Lake Municipal Airport","Clear Lake","US","US-SD"
"5HO","","Hope Airport","Hope","US","US-AK"
"5I2","","Flora Municipal Airport","Flora","US","US-IN"
"5I6","","Galveston Airport","Galveston","US","US-IN"
"5IA5","","Folkerts Airport","Rudd","US","US-IA"
"5IG9","","Kramer Airfield","Sulphur Springs","US","US-IN"
"5II1","","Layne Field","New Winchester","US","US-IN"
"5II2","","Miles Field","New Whiteland","US","US-IN"
"5II8","","Jacobi Airport","Palmyra","US","US-IN"
"5II9","","Aero Plaines Airport","Youngstown","US","US-IN"
"5IL2","","Panther Field","Pinckneyville","US","US-IL"
"5IL5","","Hope Field","Mazon","US","US-IL"
"5IN0","","Yoder Field","LaGrange","US","US-IN"
"5IN3","","Tragesser Airport","Tipton","US","US-IN"
"5IN4","","Wyckoff Airstrip","Valparaiso","US","US-IN"
"5IN6","","Orthodontic Strip","Westville","US","US-IN"
"5IN9","","Stangland Airport","Wolflake","US","US-IN"
"5IS3","","Riverveiw Airport","Evansville","US","US-IL"
"5IS4","","Corman Acres Airport","Lake City","US","US-IL"
"5IS7","","Cast Airport","Fairmount","US","US-IL"
"5IS9","","Mc Pherson Airport","Carthage","US","US-IL"
"5J5","","Holly Hill Airport","Holly Hill","US","US-SC"
"5K0","","Bressler Field","Bird City","US","US-KS"
"5K2","","Tribune Municipal Airport","Tribune","US","US-KS"
"5K4","","Schuy-Rush Airport","Rushville","US","US-IL"
"5K9","","Pruetz Municipal Airport","Kulm","US","US-ND"
"5KS","","Kasilof Airport","Kasilof","US","US-AK"
"5KS1","","Threshing Bee Airport","McLouth","US","US-KS"
"5KS8","","Jack Poore Airport","McDonald","US","US-KS"
"5KY4","","Standard Field","Elkton","US","US-KY"
"5KY5","","Lowe Airport","Cadiz","US","US-KY"
"5KY7","","Spring Creek Airpark","Albany","US","US-KY"
"5KY8","","Harold Reynolds Airport","Harrodsburg","US","US-KY"
"5LA0","","Juneau Ultralightport Airpark","Shreveport","US","US-LA"
"5LA1","","Kent's Flying Service Airport","Moreauville","US","US-LA"
"5LL0","","Beckerman Field","Mount Carmel","US","US-IL"
"5LL1","","Hilvety Airport","Moweaqua","US","US-IL"
"5LL2","","Paul E. Kroenlein Airport","Moweaqua","US","US-IL"
"5LL3","","Mayhall Airport","Murdock","US","US-IL"
"5LL5","","Gordon Brown Airport","Trivoli","US","US-IL"
"5LL7","","Funny Farm Airport","Union","US","US-IL"
"5LL8","","Hugh Van Voorst Airport","Union Hill","US","US-IL"
"5LS6","","Arkla Flyers Inc Airport","Mer Rouge","US","US-LA"
"5LS9","","Ammons Airport","Zwolle","US","US-LA"
